f0,df,noise,gain_c,SI_med,int_err,score
3.0,0.008,0.03,0.08,0.588580122702202,14.96208809902589,-0.38099562315541036
3.1415,0.008,0.02,0.08,0.5884519147681224,14.98905756255333,-0.38171469030789507
3.1415,0.008,0.03,0.1,0.5893666245908098,15.051167940845577,-0.3821569409491766
3.0,0.008,0.02,0.08,0.5878468915133879,14.9833617233317,-0.38219500959632446
3.3,0.008,0.01,0.08,0.5882388404066179,15.004596793513311,-0.38226775279349023
3.0,0.008,0.01,0.08,0.5877267235647976,14.985419301767305,-0.3823602310271159
3.1415,0.008,0.01,0.08,0.5876230178540471,14.982242556770348,-0.38239437514418384
3.3,0.008,0.02,0.08,0.5877400043399754,14.987764491199227,-0.38239829429749583
3.0,0.005,0.03,0.08,0.5893723755370461,15.066212173307093,-0.3824790798699168
3.0,0.008,0.01,0.1,0.5886637518005825,15.043466179044131,-0.38269183446460187
3.1415,0.005,0.03,0.08,0.5890429770944063,15.061520398730519,-0.3827062537867647
3.0,0.005,0.02,0.08,0.5879139600324992,15.020676047608276,-0.38294408930876633
3.1415,0.008,0.02,0.1,0.5884314749496335,15.045353941731918,-0.38296529182259353
2.8,0.008,0.02,0.08,0.5880026353439478,15.029106575926717,-0.383039545354099
3.1415,0.008,0.03,0.08,0.5879686385757676,15.030878768742024,-0.38311223630627966
3.0,0.008,0.03,0.1,0.5883549537573353,15.058892031574945,-0.3833369971304048
2.8,0.005,0.03,0.08,0.5888147889050946,15.080558621019948,-0.38334906223610743
3.1415,0.008,0.01,0.1,0.5878411708896469,15.038056697003995,-0.383396383651214
3.3,0.005,0.03,0.08,0.5884151151451165,15.065103711625227,-0.3834121917588599
3.1415,0.005,0.01,0.1,0.5887222997834352,15.0815641780859,-0.3834634370383482
3.0,0.005,0.01,0.08,0.5873674140836556,15.020101968885827,-0.38347809326797566
3.0,0.003,0.01,0.08,0.5878266411075322,15.04829860034426,-0.383634352104229
3.1415,0.008,0.01,0.12,0.5888638786454908,15.102538999029406,-0.3837780578304615
3.3,0.008,0.02,0.1,0.5882446384348234,15.078670787102318,-0.38387812080933437
3.3,0.003,0.03,0.08,0.587960374494123,15.067157474211344,-0.38391167354412725
3.0,0.008,0.02,0.1,0.5878047010993183,15.06133849653644,-0.3839405658900874
3.0,0.008,0.01,0.12,0.5889188205300858,15.119409718534417,-0.3840896209278013
3.1415,0.008,0.02,0.12,0.5887257777180307,15.111352241561582,-0.3841076683734589
3.1415,0.005,0.01,0.08,0.5867648708288362,15.022360812343061,-0.38412998324228653
2.8,0.005,0.02,0.08,0.5876147689160531,15.061634701414041,-0.3841369527502919
3.3,0.008,0.03,0.1,0.5880196658151498,15.081619094105761,-0.384167266199708
3.0,0.008,0.03,0.12,0.5889065038080943,15.12263564432125,-0.384171975019721
3.0,0.003,0.03,0.08,0.5876141202966922,15.06465057842072,-0.3842033143486818
3.0,0.005,0.02,0.1,0.5885118082795147,15.106348381129905,-0.3842129180007332
3.1415,0.005,0.03,0.1,0.5881671210757677,15.091063383838142,-0.38422529591868704
3.0,0.003,0.02,0.08,0.5870803320258982,15.04119716511401,-0.38422575053289854
3.0,0.005,0.01,0.1,0.5883404096322868,15.101564304680728,-0.3842803405358882
2.8,0.008,0.03,0.08,0.5866637082363231,15.033452970754414,-0.3844733643368903
3.3,0.005,0.02,0.08,0.5871040366555283,15.053714369851189,-0.3844750500444617
3.3,0.005,0.01,0.08,0.5867903169626554,15.043659064131266,-0.38456947720710044
3.0,0.005,0.03,0.12,0.5896840573225025,15.178581341163989,-0.3846068224797796
2.8,0.008,0.01,0.08,0.5865628027482561,15.036137963233315,-0.384632876582477
3.1415,0.003,0.02,0.12,0.5893316023980121,15.16657390015555,-0.38469941749544256
3.1415,0.005,0.02,0.12,0.5891433138476543,15.159119313452733,-0.3847262799396379
2.8,0.008,0.01,0.1,0.5876885267671337,15.094590294372983,-0.3847805963712744
3.1415,0.003,0.02,0.1,0.5879815693078165,15.10807195945026,-0.38478060929386515
3.0,0.005,0.03,0.1,0.5880384203413205,15.114488598640683,-0.384863152753377
3.0,0.008,0.02,0.12,0.5884960682389709,15.140489300720372,-0.38496977420524436
3.3,0.008,0.01,0.1,0.5869479604131557,15.06962775152309,-0.38497789493996704
3.3,0.008,0.03,0.08,0.5869484522415415,15.069910009852808,-0.38498355070562185
3.3,0.005,0.03,0.1,0.5874523850777649,15.093646220726349,-0.384996207220051
3.0,0.005,0.01,0.12,0.588680027191227,15.153981143432677,-0.38507825821050334
3.0,0.003,0.03,0.1,0.5880521347771464,15.127363857359482,-0.38512897193288964
3.1415,0.003,0.02,0.08,0.5868800029848351,15.074978171106615,-0.3851623662789595
3.3,0.003,0.01,0.08,0.5869865121969626,15.080825494841884,-0.38518314751499894
3.3,0.008,0.03,0.12,0.5890522141956551,15.177055111710665,-0.38520564630194787
3.3,0.008,0.01,0.12,0.5883511387509403,15.14538068191277,-0.38522075525275656
3.0,0.003,0.01,0.1,0.5877240066708412,15.118227379462397,-0.38525876177173557
2.8,0.008,0.02,0.1,0.5871290216926304,15.091536498143402,-0.3852736859562439
3.1415,0.005,0.02,0.08,0.585862250080811,15.038288988212685,-0.385380373735948
3.1415,0.003,0.01,0.08,0.5861827200449221,15.053061027801913,-0.3853821223272307
3.3,0.008,0.02,0.12,0.5884370003901631,15.156870806146008,-0.3853838882480243
3.1415,0.005,0.01,0.12,0.5881060061927498,15.141724612505106,-0.38538662246420985
2.8,0.005,0.01,0.08,0.5865553943566576,15.070412239930052,-0.38538754690815435
3.1415,0.003,0.03,0.08,0.5864672417683765,15.067606137117938,-0.38541457961186676
2.8,0.008,0.03,0.1,0.5878792817670713,15.136028878614288,-0.385489824855864
3.1415,0.005,0.02,0.1,0.5872575044300508,15.107741834265305,-0.3854975010599735
3.0,0.003,0.02,0.1,0.587577167336679,15.127543175947498,-0.38560783096763396
2.8,0.003,0.01,0.08,0.5866748685339451,15.089887279137473,-0.3856919658324681
3.1415,0.008,0.03,0.12,0.5877165213946387,15.146935450316933,-0.38588907529793615
3.1415,0.005,0.03,0.12,0.5887942315086011,15.200365702889052,-0.3859676041739828
3.3,0.005,0.01,0.1,0.5868615666653474,15.112298760955346,-0.3859924408322898
2.8,0.008,0.01,0.12,0.5880228229667497,15.16817342590188,-0.38604282432032744
2.8,0.003,0.03,0.08,0.5869737316009802,15.1200645001558,-0.38604892681131275
2.8,0.008,0.03,0.12,0.5881387489861081,15.17605289596996,-0.3860974273190968
3.1415,0.003,0.01,0.1,0.5870043143387883,15.125775647355486,-0.3861423229515023
3.1415,0.003,0.01,0.12,0.5880229591373307,15.173501940986455,-0.386158018000493
3.3,0.005,0.02,0.1,0.5868576516385038,15.12360724844254,-0.38624191872817304
2.8,0.005,0.02,0.1,0.5874188687166766,15.150069057107208,-0.38625464525781117
3.1415,0.003,0.03,0.1,0.5873358499426486,15.146283129162565,-0.3862556067902626
3.3,0.003,0.02,0.08,0.5858934380789009,15.088301061915715,-0.38643888993046194
3.3,0.003,0.02,0.1,0.5874230138634435,15.16372776989187,-0.386546382998774
2.8,0.005,0.03,0.12,0.5889940444955957,15.238257861570837,-0.38658547456029146
3.0,0.003,0.02,0.12,0.588375936525821,15.214153591120999,-0.3866836522178808
3.3,0.005,0.01,0.12,0.5877471238889344,15.18570679843576,-0.3866978708485911
3.0,0.005,0.02,0.12,0.5876433891819984,15.182136167827235,-0.3867243856604998
3.1415,0.003,0.03,0.12,0.5878899873097709,15.1938242475366,-0.38673049528400416
3.3,0.005,0.03,0.12,0.5881862718605508,15.209152746122978,-0.3867653515976257
3.0,0.003,0.01,0.12,0.5878937040292002,15.197486806407513,-0.3868059291496282
3.3,0.003,0.01,0.1,0.5865446988414011,15.137204138115113,-0.3868498989261776
2.8,0.003,0.02,0.1,0.5874641415589832,15.183883297141412,-0.38694141953407446
2.8,0.008,0.02,0.12,0.5873305630392093,15.179350274727694,-0.38697695112342323
2.8,0.005,0.01,0.1,0.5861901721562943,15.131094113223103,-0.3870718801190429
2.8,0.003,0.01,0.1,0.5866812552772238,15.155523627105339,-0.3871104487293212
2.8,0.005,0.02,0.12,0.5875677537762253,15.198876907123505,-0.38716191581380033
2.8,0.003,0.02,0.08,0.5858371449139528,15.119356593620179,-0.3871701430432203
2.8,0.005,0.03,0.1,0.5866419686820923,15.158585889559241,-0.3872160711683368
3.3,0.003,0.03,0.1,0.5867103056725784,15.164851632169103,-0.3872834258065301
3.3,0.005,0.02,0.12,0.5875948347381352,15.206384278169297,-0.38729700480929385
3.3,0.003,0.03,0.12,0.5878752702967021,15.232902323100754,-0.38758879624865794
2.8,0.003,0.03,0.1,0.5869887792864885,15.193718356696255,-0.38762941466226186
3.0,0.003,0.03,0.12,0.5879845739410121,15.241422711185148,-0.3876631537517201
2.8,0.005,0.01,0.12,0.5873856892198268,15.220807416576879,-0.38781750006291527
3.3,0.003,0.01,0.12,0.5869166866677784,15.205374399895122,-0.38795334243736124
2.8,0.003,0.02,0.12,0.587287307259232,15.253344645771698,-0.3886172419239685
2.8,0.003,0.01,0.12,0.5869049220352176,15.24270569828638,-0.3887704527274931
3.3,0.003,0.02,0.12,0.5863809255787013,15.220332103979466,-0.38881200762724655
2.8,0.003,0.03,0.12,0.5871514336203411,15.26469887866182,-0.3889975325844466
